recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
Eduard Garin,{741140},{eduard_garin},Dmitriy Bochkov,96,5671,{1440491},{convallaria1128},17137
Felix Riegel,{1374169},{felix_riegel},Dmitriy Bochkov,18,5200,{1440491},{convallaria1128},17137
Sandro,{611294},{dzaocom},Sandro,7,13,{611294},{dzaocom},9
Sandro,{611294},{dzaocom},Dmitriy Bochkov,2,13,{1440491},{convallaria1128},17137
Sandro,{611294},{dzaocom},Eduard Garin,1,13,{741140},{eduard_garin},5679
Sandro,{611294},{dzaocom},BJ Stacey,1,13,{10285},{finatic},7080
Sandro,{611294},{dzaocom},mycowalt,1,13,{239596},{mycowalt},1661
ninokozhoridze,{1589129},{ninokozhoridze},Sandro,1,20,{611294},{dzaocom},9
efimik_elena,{726596},{efimik_elena},Sandro,1,13,{611294},{dzaocom},9
Sandro,{611294},{dzaocom},Felix Riegel,1,13,{1374169},{felix_riegel},4690
