n_observations,n_month_active,std_dist_km,n_kingdoms,n_landcovers,n_interacted_users,cluster,userid,distance_std
4029,12,692.355,12,10,718,4,1138587,5.35863
3610,11,54.479267,14,13,505,4,849813,11.5923
974,12,248.87526,11,7,1883,4,13406,44.9912
42,7,29.451284,7,5,0,2,1736757,0.845379
39,5,2273.6802,3,6,0,3,2068025,1.12944
30847,12,433.3139,12,14,531,4,222137,116.893
5037,12,80.28508,12,7,660,4,17401,3.77379
21,4,2613.15,8,3,0,3,187300,2.11736
89,8,26.092339,8,2,0,2,1464684,2.00028
76,11,4541.8955,6,10,0,3,144533,7.91879
1062,9,279.34882,11,10,13,2,1703763,5.95677
37758,7,2354.2083,13,15,3,4,196849,150.547
2,1,0,1,1,0,1,1524959,0.354855
2404,12,925.1909,11,12,35,2,351706,12.0646
7134,12,5.133784,11,5,735,4,1012326,9.45154
1939,12,1677.7377,13,12,71,3,309220,10.9878
4580,12,770.5152,11,12,633,4,44170,5.30636
74,12,5602.3013,12,7,2,3,627259,11.2866
33,8,203.98161,5,3,0,2,1321546,1.31799
3208,12,797.9009,13,12,777,4,1030528,9.14766
6,4,912.4191,2,1,0,1,533250,3.06974
8,3,2297.9475,4,4,0,3,1069597,1.32376
50,6,25.433954,7,4,0,2,2369084,0.830085
31275,12,138.70923,15,12,190,4,420537,120.268
1,1,0,1,1,0,1,688108,0.355076
13,5,253.84195,5,5,0,2,3386611,0.902038
78,6,155.79465,4,4,0,2,1034898,0.937689
57,9,565.776,1,5,0,2,1987395,2.89537
8,5,1924.8741,2,3,0,3,1830743,2.23365
6,5,2106.0205,4,5,0,3,865685,1.02761
2,2,0.56941,2,1,0,1,2536961,0.34722
3,2,0,2,1,0,1,2631966,0.347324
7,3,2.3221042,6,4,0,2,1976693,1.66567
41,5,2332.4539,5,7,1,3,611294,1.24469
16,3,82.36871,4,6,0,2,1432427,1.93319
10,2,2484.8816,1,2,0,3,863395,2.88064
4,2,2.8055646,2,1,0,1,1555067,0.345968
6818,10,413.29422,12,7,738,4,275891,7.73269
4,2,0.003105823,1,1,0,1,1742235,0.316524
29,2,1.6827185,4,4,0,1,2083162,1.97966
160,9,536.4349,8,8,3723,4,769610,109.384
4305,11,81.982285,14,10,229,4,12809,19.2293
899,12,458.42813,10,9,737,4,1009163,19.2989
6,4,3.1750917,2,2,0,1,603398,1.21725
6,2,724.13165,2,4,0,1,2387504,2.76234
1,1,0,1,1,0,1,799955,0.355076
8,1,47.414127,4,5,0,1,1748025,2.45238
4,3,2463.3723,2,2,0,3,1265489,2.38268
736,8,338.9043,12,9,7,2,1535505,4.84039
173,11,2841.4258,8,9,0,3,1549977,4.0557
