year,month,date,centergeojson,n_geoms,std_dist_km
2020,1,1/2020,"{""type"":""Point"",""coordinates"":[-95.729076972,30.86277793]}",26,273.605068369447
2020,2,2/2020,"{""type"":""Point"",""coordinates"":[-96.846811411,33.311382683]}",49,11.375375469680773
2020,3,3/2020,"{""type"":""Point"",""coordinates"":[-96.728266277,33.131132237]}",274,13.457971724964693
2020,4,4/2020,"{""type"":""Point"",""coordinates"":[-96.748672225,33.179549488]}",352,17.871729054903152
2020,5,5/2020,"{""type"":""Point"",""coordinates"":[-96.743246535,33.14202999]}",368,22.57347032007366
2020,6,6/2020,"{""type"":""Point"",""coordinates"":[-97.128135681,33.208136004]}",86,140.1122445003648
2020,7,7/2020,"{""type"":""Point"",""coordinates"":[-97.966690063,32.966245729]}",443,227.77835003450247
2020,8,8/2020,"{""type"":""Point"",""coordinates"":[-96.728185838,33.115389326]}",465,62.833219778813735
2020,9,9/2020,"{""type"":""Point"",""coordinates"":[-96.643548639,33.10243011]}",946,10.612960810626161
2020,10,10/2020,"{""type"":""Point"",""coordinates"":[-97.052297731,32.865192136]}",289,295.8792484583833
2020,11,11/2020,"{""type"":""Point"",""coordinates"":[-97.709287362,31.24694918]}",122,46.543985606333884
2020,12,12/2020,"{""type"":""Point"",""coordinates"":[-96.76775074,33.733448982]}",8,0.6767569044064904
